gene	ontology	GO_id	GO_name
fig|657315.3.peg.1	BP	GO:0009372	quorum sensing
fig|657315.3.peg.1	MF	GO:0008233	peptidase activity
fig|657315.3.peg.1	CC	GO:0016021	integral component of membrane
fig|657315.3.peg.2803|ROI_17030	BP	0046417	chorismate metabolic process	2.7430200663956175	0.545181187997	2
fig|657315.3.peg.2803|ROI_17030	MF	0016836	hydro-lyase activity	2.398754646269139	0.52958450404	2
fig|657315.3.peg.2803|ROI_17030	BP	0043650	dicarboxylic acid biosynthetic process	2.413573491349091	0.530278071765	3
fig|657315.3.peg.2803|ROI_17030	MF	0016835	carbon-oxygen lyase activity	2.287622516312617	0.524313380777	3
fig|657315.3.peg.2803|ROI_17030	BP	0009073	aromatic amino acid family biosynthetic process	2.4104414753876364	0.530131661581	4
fig|657315.3.peg.2803|ROI_17030	MF	0016829	lyase activity	1.704411089382141	0.494263095496	4
fig|657315.3.peg.2803|ROI_17030	BP	0009072	aromatic amino acid family metabolic process	2.295773891522082	0.524704301744	5
fig|657315.3.peg.2803|ROI_17030	MF	0003824	catalytic activity	0.22809354210225108	0.374046270786	5
fig|657315.3.peg.2803|ROI_17030	BP	0043648	dicarboxylic acid metabolic process	2.12332841549137	0.516280287165	6
fig|657315.3.peg.2803|ROI_17030	BP	0008652	cellular amino acid biosynthetic process	1.7947206623438494	0.499220352439	7
fig|657315.3.peg.2803|ROI_17030	BP	0046394	carboxylic acid biosynthetic process	1.5645328896394528	0.486318031851	8
fig|657315.3.peg.2803|ROI_17030	BP	0016053	organic acid biosynthetic process	1.5624339560727163	0.486196164128	9
fig|657315.3.peg.2803|ROI_17030	BP	0006520	cellular amino acid metabolic process	1.4692150205614483	0.480698633651	10
fig|657315.3.peg.2803|ROI_17030	BP	0044283	small molecule biosynthetic process	1.3540160775783283	0.473657909327	11
fig|657315.3.peg.2803|ROI_17030	BP	0019752	carboxylic acid metabolic process	1.2375438789632518	0.466227666676	12
fig|657315.3.peg.2803|ROI_17030	BP	0043436	oxoacid metabolic process	1.229247517180338	0.465685324097	13
fig|657315.3.peg.2803|ROI_17030	BP	0006082	organic acid metabolic process	1.2236260417827596	0.465316801064	14
fig|657315.3.peg.2803|ROI_17030	BP	0019438	aromatic compound biosynthetic process	1.1944303977454758	0.463389079186	15
fig|657315.3.peg.2803|ROI_17030	BP	1901362	organic cyclic compound biosynthetic process	1.1508985331659296	0.460470471562	16
fig|657315.3.peg.2803|ROI_17030	BP	0044281	small molecule metabolic process	0.8766200110214043	0.440647838369	17
fig|657315.3.peg.2803|ROI_17030	BP	1901566	organonitrogen compound biosynthetic process	0.8588240432487967	0.439260847414	18
fig|657315.3.peg.2803|ROI_17030	BP	0006725	cellular aromatic compound metabolic process	0.7169068815582452	0.427641353743	19
fig|657315.3.peg.2803|ROI_17030	BP	1901360	organic cyclic compound metabolic process	0.7032048593926352	0.426460815449	20
fig|657315.3.peg.2803|ROI_17030	BP	0044249	cellular biosynthetic process	0.687092556606892	0.42505779931	21
fig|657315.3.peg.2803|ROI_17030	BP	1901576	organic substance biosynthetic process	0.676476442331301	0.424124368923	22
fig|657315.3.peg.2803|ROI_17030	BP	0009058	biosynthetic process	0.6551880986251133	0.422230238198	23
fig|657315.3.peg.2803|ROI_17030	BP	1901564	organonitrogen compound metabolic process	0.5561377921722404	0.412982386924	24
fig|657315.3.peg.2803|ROI_17030	BP	0006807	nitrogen compound metabolic process	0.3888937366453074	0.395248673129	25
fig|657315.3.peg.2803|ROI_17030	BP	0044238	primary metabolic process	0.3521835862848756	0.390869023651	26
fig|657315.3.peg.2803|ROI_17030	BP	0044237	cellular metabolic process	0.33439538870192337	0.388664703035	27
fig|657315.3.peg.2803|ROI_17030	BP	0071704	organic substance metabolic process	0.3070697921045658	0.385160951459	28
fig|657315.3.peg.2803|ROI_17030	BP	0009987	cellular process	0.24027770710943758	0.375874324796	29
fig|657315.3.peg.2803|ROI_17030	BP	0008152	metabolic process	0.18294785704080113	0.366805531057	30
fig|657315.3.peg.2805|ROI_17050	CC	0016021	integral component of membrane	0.8321307419558694	0.437153183117	1
fig|657315.3.peg.2805|ROI_17050	MF	0005524	ATP binding	0.025147120829603506	0.32772558912	1
fig|657315.3.peg.2805|ROI_17050	CC	0031224	intrinsic component of membrane	0.8301735770484464	0.436997327002	2
fig|657315.3.peg.2805|ROI_17050	MF	0032559	adenyl ribonucleotide binding	0.025034321066555208	0.327673889362	2
fig|657315.3.peg.2805|ROI_17050	CC	0044425	membrane part	0.8035787718325333	0.434860990276	3
fig|657315.3.peg.2805|ROI_17050	MF	0030554	adenyl nucleotide binding	0.024993315043766288	0.327655066125	3
fig|657315.3.peg.2805|ROI_17050	CC	0016020	membrane	0.6940252929795206	0.425663478013	4
fig|657315.3.peg.2805|ROI_17050	MF	0035639	purine ribonucleoside triphosphate binding	0.023833335428292298	0.327116047024	4
fig|657315.3.peg.2805|ROI_17050	MF	0032555	purine ribonucleotide binding	0.023673804154389407	0.327040898817	5
fig|657315.3.peg.2805|ROI_17050	MF	0017076	purine nucleotide binding	0.023635091230233093	0.327022624707	6
fig|657315.3.peg.2805|ROI_17050	MF	0008144	drug binding	0.02351044687113663	0.326963685495	7
fig|657315.3.peg.2805|ROI_17050	MF	0032553	ribonucleotide binding	0.023258810740440918	0.326844219047	8
fig|657315.3.peg.2805|ROI_17050	MF	0097367	carbohydrate derivative binding	0.022861531369340632	0.326654283872	9
fig|657315.3.peg.2805|ROI_17050	MF	0000166	nucleotide binding	0.020738454972824314	0.325610037679	10
fig|657315.3.peg.2805|ROI_17050	MF	1901265	nucleoside phosphate binding	0.020738454152267473	0.325610037265	11
fig|657315.3.peg.2805|ROI_17050	MF	0043168	anion binding	0.020537305104138485	0.325508383527	12
fig|657315.3.peg.2805|ROI_17050	MF	0036094	small molecule binding	0.019320931378364433	0.324882764159	13
fig|657315.3.peg.2805|ROI_17050	MF	0043167	ion binding	0.014225404040103435	0.322018047303	14
fig|657315.3.peg.2805|ROI_17050	MF	1901363	heterocyclic compound binding	0.010439423558473835	0.319535591814	15
fig|657315.3.peg.2805|ROI_17050	MF	0097159	organic cyclic compound binding	0.010436815141413985	0.319533738271	16
fig|657315.3.peg.2805|ROI_17050	MF	0005488	binding	0.007297581547223786	0.317103838263	17
fig|657315.3.peg.2806|ROI_17060	CC	0016021	integral component of membrane	0.3408409623266903	0.389470063362	1
fig|657315.3.peg.2806|ROI_17060	CC	0031224	intrinsic component of membrane	0.34003930708569996	0.389370315417	2
fig|657315.3.peg.2806|ROI_17060	CC	0044425	membrane part	0.3291460681442123	0.388003059491	3
fig|657315.3.peg.2806|ROI_17060	CC	0016020	membrane	0.28427293550314253	0.382116649825	4
fig|657315.3.peg.2807	CC	0030288	outer membrane-bounded periplasmic space	3.770079265561389	0.586630367217	1
fig|657315.3.peg.2807	BP	0055085	transmembrane transport	1.2777096231090779	0.468828008251	1
fig|657315.3.peg.2807	CC	0042597	periplasmic space	3.109542114992716	0.560744138367	2
fig|657315.3.peg.2807	BP	0006810	transport	1.0906589345500026	0.456339064701	2
fig|657315.3.peg.2807	CC	0030313	cell envelope	2.731105657652189	0.544658350187	3
fig|657315.3.peg.2807	BP	0051234	establishment of localization	1.0881377275378608	0.456163696096	3
fig|657315.3.peg.2807	CC	0031975	envelope	1.870698625566925	0.503295100521	4
fig|657315.3.peg.2807	BP	0051179	localization	1.0698131890484475	0.454882935972	4
fig|657315.3.peg.2807	CC	0044464	cell part	0.40823573080223585	0.397473111632	5
fig|657315.3.peg.2807	CC	0005623	cell	0.390370426102313	0.395420423877	6
fig|657315.3.peg.2808|ROI_17080	MF	0004765	shikimate kinase activity	4.86835130255084	0.625074226875	1
fig|657315.3.peg.2808|ROI_17080	BP	0046417	chorismate metabolic process	3.5680991000453703	0.578974271579	1
fig|657315.3.peg.2808|ROI_17080	CC	0005737	cytoplasm	0.6852857847002745	0.424899449293	1
fig|657315.3.peg.2808|ROI_17080	BP	0009423	chorismate biosynthetic process	3.336050434325406	0.569905740415	2
fig|657315.3.peg.2808|ROI_17080	MF	0000287	magnesium ion binding	2.404083137106651	0.529834139888	2
fig|657315.3.peg.2808|ROI_17080	CC	0044424	intracellular part	0.5765591866112745	0.414952530101	2
fig|657315.3.peg.2808|ROI_17080	BP	0009073	aromatic amino acid family biosynthetic process	2.8559808097089228	0.550082879701	3
fig|657315.3.peg.2808|ROI_17080	MF	0016773	phosphotransferase activity, alcohol group as acceptor	2.065108167441252	0.513359430888	3
fig|657315.3.peg.2808|ROI_17080	CC	0005622	intracellular	0.5765580363385584	0.414952420121	3
fig|657315.3.peg.2808|ROI_17080	BP	0043650	dicarboxylic acid biosynthetic process	2.8256176447058055	0.54877500861	4
fig|657315.3.peg.2808|ROI_17080	MF	0016301	kinase activity	1.8578983638509738	0.502614490427	4
fig|657315.3.peg.2808|ROI_17080	CC	0044464	cell part	0.3972781972540919	0.396219572354	4
fig|657315.3.peg.2808|ROI_17080	BP	0043648	dicarboxylic acid metabolic process	2.7620090356724436	0.546012135997	5
fig|657315.3.peg.2808|ROI_17080	MF	0016772	transferase activity, transferring phosphorus-containing groups	1.5536953758620156	0.485687905002	5
fig|657315.3.peg.2808|ROI_17080	CC	0005623	cell	0.37989241862410067	0.394194620272	5
fig|657315.3.peg.2808|ROI_17080	BP	0009072	aromatic amino acid family metabolic process	2.720118386845889	0.544175186094	6
fig|657315.3.peg.2808|ROI_17080	MF	0005524	ATP binding	1.2707058705768906	0.468377557098	6
fig|657315.3.peg.2808|ROI_17080	CC	0016021	integral component of membrane	0.021085773395179263	0.325784406653	6
fig|657315.3.peg.2808|ROI_17080	BP	0008652	cellular amino acid biosynthetic process	2.1264518648468043	0.516435848936	7
fig|657315.3.peg.2808|ROI_17080	MF	0032559	adenyl ribonucleotide binding	1.265006000517157	0.468010049015	7
fig|657315.3.peg.2808|ROI_17080	CC	0031224	intrinsic component of membrane	0.021036179823335107	0.325759596878	7
fig|657315.3.peg.2808|ROI_17080	BP	0046394	carboxylic acid biosynthetic process	1.8537168210027406	0.50239164344	8
fig|657315.3.peg.2808|ROI_17080	MF	0030554	adenyl nucleotide binding	1.2629339305477971	0.467876243905	8
fig|657315.3.peg.2808|ROI_17080	CC	0044425	membrane part	0.020362280869724025	0.325419526589	8
fig|657315.3.peg.2808|ROI_17080	BP	0016053	organic acid biosynthetic process	1.8512299263617955	0.502258990144	9
fig|657315.3.peg.2808|ROI_17080	MF	0035639	purine ribonucleoside triphosphate binding	1.2043191524537133	0.464044622953	9
fig|657315.3.peg.2808|ROI_17080	CC	0016020	membrane	0.01758625095846436	0.323955431244	9
fig|657315.3.peg.2808|ROI_17080	BP	0006520	cellular amino acid metabolic process	1.7407806606815903	0.496274915635	10
fig|657315.3.peg.2808|ROI_17080	MF	0032555	purine ribonucleotide binding	1.1962578985367094	0.463510431412	10
fig|657315.3.peg.2808|ROI_17080	BP	0044283	small molecule biosynthetic process	1.604288663751595	0.48861107109	11
fig|657315.3.peg.2808|ROI_17080	MF	0017076	purine nucleotide binding	1.1943017008341592	0.463380529778	11
fig|657315.3.peg.2808|ROI_17080	BP	0016310	phosphorylation	1.5050989666154557	0.482834953665	12
fig|657315.3.peg.2808|ROI_17080	MF	0008144	drug binding	1.1880033130421173	0.462961559985	12
fig|657315.3.peg.2808|ROI_17080	BP	0019752	carboxylic acid metabolic process	1.466288066140831	0.480523234955	13
fig|657315.3.peg.2808|ROI_17080	MF	0032553	ribonucleotide binding	1.1752879206641607	0.462112331928	13
fig|657315.3.peg.2808|ROI_17080	BP	0043436	oxoacid metabolic process	1.4564582277961382	0.479932893816	14
fig|657315.3.peg.2808|ROI_17080	MF	0097367	carbohydrate derivative binding	1.155213048771791	0.460762176442	14
fig|657315.3.peg.2808|ROI_17080	BP	0006082	organic acid metabolic process	1.4497976944367237	0.47953175565	15
fig|657315.3.peg.2808|ROI_17080	MF	0046872	metal ion binding	1.1525238536311806	0.460580423745	15
fig|657315.3.peg.2808|ROI_17080	BP	0019438	aromatic compound biosynthetic process	1.4152056083193183	0.477433425973	16
fig|657315.3.peg.2808|ROI_17080	MF	0043169	cation binding	1.1457291832681866	0.460120250289	16
fig|657315.3.peg.2808|ROI_17080	BP	1901362	organic cyclic compound biosynthetic process	1.363627434312817	0.474256514893	17
fig|657315.3.peg.2808|ROI_17080	MF	0000166	nucleotide binding	1.0479321533159334	0.453339145267	17
fig|657315.3.peg.2808|ROI_17080	BP	0006796	phosphate-containing compound metabolic process	1.2089964311946304	0.464353750719	18
fig|657315.3.peg.2808|ROI_17080	MF	1901265	nucleoside phosphate binding	1.0479321118524831	0.453339142326	18
fig|657315.3.peg.2808|ROI_17080	BP	0006793	phosphorus metabolic process	1.197804272573223	0.463613043489	19
fig|657315.3.peg.2808|ROI_17080	MF	0043168	anion binding	1.037767875634333	0.452616536035	19
fig|657315.3.peg.2808|ROI_17080	BP	0044281	small molecule metabolic process	1.038652028870079	0.452679533283	20
fig|657315.3.peg.2808|ROI_17080	MF	0016740	transferase activity	0.99539635676173	0.44956538995	20
fig|657315.3.peg.2808|ROI_17080	BP	1901566	organonitrogen compound biosynthetic process	1.017566703643258	0.451169790454	21
fig|657315.3.peg.2808|ROI_17080	MF	0036094	small molecule binding	0.976303454135351	0.448169316495	21
fig|657315.3.peg.2808|ROI_17080	BP	0006725	cellular aromatic compound metabolic process	0.849417966370393	0.438521944993	22
fig|657315.3.peg.2808|ROI_17080	MF	0043167	ion binding	0.7188220292721541	0.427805457215	22
fig|657315.3.peg.2808|ROI_17080	BP	1901360	organic cyclic compound metabolic process	0.8331833003315111	0.437236926357	23
fig|657315.3.peg.2808|ROI_17080	MF	1901363	heterocyclic compound binding	0.5275131451857962	0.410158905458	23
fig|657315.3.peg.2808|ROI_17080	BP	0044249	cellular biosynthetic process	0.8140928440702146	0.435709740078	24
fig|657315.3.peg.2808|ROI_17080	MF	0097159	organic cyclic compound binding	0.5273813396048185	0.41014572954	24
fig|657315.3.peg.2808|ROI_17080	BP	1901576	organic substance biosynthetic process	0.8015144765992148	0.434693698965	25
fig|657315.3.peg.2808|ROI_17080	MF	0005488	binding	0.3687531378206314	0.392872768783	25
fig|657315.3.peg.2808|ROI_17080	BP	0009058	biosynthetic process	0.7762912543321892	0.432631933335	26
fig|657315.3.peg.2808|ROI_17080	MF	0003824	catalytic activity	0.2702537214506746	0.380183574501	26
fig|657315.3.peg.2808|ROI_17080	BP	1901564	organonitrogen compound metabolic process	0.6589327632368179	0.422565626052	27
fig|657315.3.peg.2808|ROI_17080	MF	0003995	acyl-CoA dehydrogenase activity	0.033275187380385936	0.331186640152	27
fig|657315.3.peg.2808|ROI_17080	BP	0006807	nitrogen compound metabolic process	0.4607757791324846	0.40326243799	28
fig|657315.3.peg.2808|ROI_17080	MF	0016627	oxidoreductase activity, acting on the CH-CH group of donors	0.02397138146265234	0.327180871741	28
fig|657315.3.peg.2808|ROI_17080	BP	0044238	primary metabolic process	0.4172802261304927	0.398495179507	29
fig|657315.3.peg.2808|ROI_17080	MF	0016491	oxidoreductase activity	0.00997692774432538	0.319203239869	29
fig|657315.3.peg.2808|ROI_17080	BP	0044237	cellular metabolic process	0.39620410731368866	0.39609577147	30
fig|657315.3.peg.2808|ROI_17080	BP	0071704	organic substance metabolic process	0.36382772303190464	0.392281929859	31
fig|657315.3.peg.2808|ROI_17080	BP	0009987	cellular process	0.284689973812809	0.382173415476	32
fig|657315.3.peg.2808|ROI_17080	BP	0008152	metabolic process	0.2167634328486959	0.372302012731	33
fig|657315.3.peg.2808|ROI_17080	BP	0008218	bioluminescence	0.0466605708002582	0.336064736259	34
fig|657315.3.peg.2808|ROI_17080	BP	0055114	oxidation-reduction process	0.008880405563849949	0.318383053231	35
fig|657315.3.peg.2811|ROI_17110	MF	0004813	alanine-tRNA ligase activity	4.123590526108639	0.599552207056	1
fig|657315.3.peg.2811|ROI_17110	BP	0006419	alanyl-tRNA aminoacylation	4.042959324690139	0.596655258834	1
fig|657315.3.peg.2811|ROI_17110	CC	0005737	cytoplasm	0.3727427603943893	0.393348466017	1
fig|657315.3.peg.2811|ROI_17110	MF	0004812	aminoacyl-tRNA ligase activity	2.5247418894571196	0.535414616453	2
fig|657315.3.peg.2811|ROI_17110	BP	0006418	tRNA aminoacylation for protein translation	2.473373963422239	0.533055517135	2
fig|657315.3.peg.2811|ROI_17110	CC	0044424	intracellular part	0.3136038533795435	0.386012499562	2
fig|657315.3.peg.2811|ROI_17110	MF	0016875	ligase activity, forming carbon-oxygen bonds	2.524741229001199	0.535414586276	3
fig|657315.3.peg.2811|ROI_17110	BP	0043039	tRNA aminoacylation	2.4605350870537226	0.532462068092	3
fig|657315.3.peg.2811|ROI_17110	CC	0005622	intracellular	0.3136032277196554	0.38601241845	3
fig|657315.3.peg.2811|ROI_17110	BP	0043038	amino acid activation	2.460444516160283	0.532457876158	4
fig|657315.3.peg.2811|ROI_17110	MF	0140101	catalytic activity, acting on a tRNA	2.187362723417195	0.519446957586	4
fig|657315.3.peg.2811|ROI_17110	CC	0044464	cell part	0.21608878397173267	0.372196729373	4
fig|657315.3.peg.2811|ROI_17110	BP	0006399	tRNA metabolic process	1.9602897234736847	0.507995023676	5
fig|657315.3.peg.2811|ROI_17110	MF	0016874	ligase activity	1.8601404000766193	0.502733872003	5
fig|657315.3.peg.2811|ROI_17110	CC	0005623	cell	0.2066322575665	0.370703304096	5
fig|657315.3.peg.2811|ROI_17110	BP	0034660	ncRNA metabolic process	1.8277026671529846	0.500999588486	6
fig|657315.3.peg.2811|ROI_17110	MF	0140098	catalytic activity, acting on RNA	1.8001815894601285	0.499516068274	6
fig|657315.3.peg.2811|ROI_17110	BP	0006520	cellular amino acid metabolic process	1.5546760968570368	0.485745017432	7
fig|657315.3.peg.2811|ROI_17110	MF	0005524	ATP binding	1.134856382393573	0.459381034727	7
fig|657315.3.peg.2811|ROI_17110	BP	0016070	RNA metabolic process	1.405953853175102	0.476867887031	8
fig|657315.3.peg.2811|ROI_17110	MF	0032559	adenyl ribonucleotide binding	1.1297658779220967	0.459033726693	8
fig|657315.3.peg.2811|ROI_17110	BP	0006412	translation	1.3155132722642444	0.47123834075	9
fig|657315.3.peg.2811|ROI_17110	MF	0030554	adenyl nucleotide binding	1.1279153302194829	0.45890727617	9
fig|657315.3.peg.2811|ROI_17110	BP	0043043	peptide biosynthetic process	1.3101772150439308	0.470900236558	10
fig|657315.3.peg.2811|ROI_17110	MF	0035639	purine ribonucleoside triphosphate binding	1.0755669807210622	0.455286259922	10
fig|657315.3.peg.2811|ROI_17110	BP	0019752	carboxylic acid metabolic process	1.309529143461025	0.47085912648	11
fig|657315.3.peg.2811|ROI_17110	MF	0032555	purine ribonucleotide binding	1.0683675448251266	0.454781430171	11
fig|657315.3.peg.2811|ROI_17110	BP	0006518	peptide metabolic process	1.3027305527921815	0.470427246866	12
fig|657315.3.peg.2811|ROI_17110	MF	0017076	purine nucleotide binding	1.066620481638148	0.45465866857	12
fig|657315.3.peg.2811|ROI_17110	BP	0043436	oxoacid metabolic process	1.3007502001652744	0.470301233389	13
fig|657315.3.peg.2811|ROI_17110	MF	0008144	drug binding	1.0609954461755011	0.454262727414	13
fig|657315.3.peg.2811|ROI_17110	BP	0006082	organic acid metabolic process	1.294801735640085	0.469922143748	14
fig|657315.3.peg.2811|ROI_17110	MF	0032553	ribonucleotide binding	1.0496394396212767	0.453460177101	14
fig|657315.3.peg.2811|ROI_17110	BP	0043604	amide biosynthetic process	1.265790187437751	0.468060659748	15
fig|657315.3.peg.2811|ROI_17110	MF	0097367	carbohydrate derivative binding	1.0317107457981767	0.452184232791	15
fig|657315.3.peg.2811|ROI_17110	BP	0043603	cellular amide metabolic process	1.2314938486236422	0.465832349546	16
fig|657315.3.peg.2811|ROI_17110	MF	0000166	nucleotide binding	0.9358991093400046	0.445169207865	16
fig|657315.3.peg.2811|ROI_17110	BP	0090304	nucleic acid metabolic process	1.0798284408950323	0.455584280866	17
fig|657315.3.peg.2811|ROI_17110	MF	1901265	nucleoside phosphate binding	0.9358990723093573	0.445169205086	17
fig|657315.3.peg.2811|ROI_17110	BP	0034645	cellular macromolecule biosynthetic process	1.0576896078707128	0.454029542658	18
fig|657315.3.peg.2811|ROI_17110	MF	0043168	anion binding	0.9268214811756301	0.444486316786	18
fig|657315.3.peg.2811|ROI_17110	BP	0010467	gene expression	1.0517085717519077	0.453606728816	19
fig|657315.3.peg.2811|ROI_17110	MF	0036094	small molecule binding	0.8719281398891995	0.440283538272	19
fig|657315.3.peg.2811|ROI_17110	BP	0044267	cellular protein metabolic process	1.0448190471465975	0.453118198897	20
fig|657315.3.peg.2811|ROI_17110	MF	0003676	nucleic acid binding	0.803456675963253	0.434851101561	20
fig|657315.3.peg.2811|ROI_17110	BP	0009059	macromolecule biosynthetic process	1.0447000397322026	0.45310974606	21
fig|657315.3.peg.2811|ROI_17110	MF	0043167	ion binding	0.6419737144633284	0.421038976706	21
fig|657315.3.peg.2811|ROI_17110	BP	0044281	small molecule metabolic process	0.9276111107554045	0.444545851395	22
fig|657315.3.peg.2811|ROI_17110	MF	1901363	heterocyclic compound binding	0.47111741078116304	0.404362366098	22
fig|657315.3.peg.2811|ROI_17110	BP	1901566	organonitrogen compound biosynthetic process	0.9087799898307499	0.443119091446	23
fig|657315.3.peg.2811|ROI_17110	MF	0097159	organic cyclic compound binding	0.47099969636095673	0.404349914392	23
fig|657315.3.peg.2811|ROI_17110	BP	0044271	cellular nitrogen compound biosynthetic process	0.9068849331439216	0.442974695157	24
fig|657315.3.peg.2811|ROI_17110	MF	0005488	binding	0.32933022635160475	0.388026360387	24
fig|657315.3.peg.2811|ROI_17110	BP	0019538	protein metabolic process	0.8989431446122005	0.442367913021	25
fig|657315.3.peg.2811|ROI_17110	MF	0003824	catalytic activity	0.24136125263565034	0.376034626541	25
fig|657315.3.peg.2811|ROI_17110	BP	0006139	nucleobase-containing compound metabolic process	0.8340647892487272	0.437307018345	26
fig|657315.3.peg.2811|ROI_17110	MF	0016787	hydrolase activity	0.01569589248694239	0.322891127759	26
fig|657315.3.peg.2811|ROI_17110	BP	0006725	cellular aromatic compound metabolic process	0.7586078122213884	0.431166433686	27
fig|657315.3.peg.2811|ROI_17110	BP	0046483	heterocycle metabolic process	0.757458994156867	0.431070638489	28
fig|657315.3.peg.2811|ROI_17110	BP	0044260	cellular macromolecule metabolic process	0.7543066028982873	0.430807399788	29
fig|657315.3.peg.2811|ROI_17110	BP	1901360	organic cyclic compound metabolic process	0.7441087729103566	0.429952045986	30
fig|657315.3.peg.2811|ROI_17110	BP	0044249	cellular biosynthetic process	0.7270592521419493	0.428508801364	31
fig|657315.3.peg.2811|ROI_17110	BP	1901576	organic substance biosynthetic process	0.7158256213426557	0.427548606861	32
fig|657315.3.peg.2811|ROI_17110	BP	0009058	biosynthetic process	0.6932989804912442	0.425600165995	33
fig|657315.3.peg.2811|ROI_17110	BP	0034641	cellular nitrogen compound metabolic process	0.6046819332040854	0.417609403439	34
fig|657315.3.peg.2811|ROI_17110	BP	0043170	macromolecule metabolic process	0.6020049210734965	0.417359193283	35
fig|657315.3.peg.2811|ROI_17110	BP	1901564	organonitrogen compound metabolic process	0.588487130848025	0.416087152397	36
fig|657315.3.peg.2811|ROI_17110	BP	0006807	nitrogen compound metabolic process	0.41151484848611924	0.39784496235	37
fig|657315.3.peg.2811|ROI_17110	BP	0044238	primary metabolic process	0.37266934767196247	0.393339735806	38
fig|657315.3.peg.2811|ROI_17110	BP	0044237	cellular metabolic process	0.3538464489121758	0.391072211019	39
fig|657315.3.peg.2811|ROI_17110	BP	0071704	organic substance metabolic process	0.32493138115984954	0.387467996872	40
fig|657315.3.peg.2811|ROI_17110	BP	0009987	cellular process	0.25425414430347176	0.377915096083	41
fig|657315.3.peg.2811|ROI_17110	BP	0008152	metabolic process	0.19358954021846395	0.368586274113	42
fig|657315.3.peg.2812|ROI_17120	MF	0016787	hydrolase activity	2.250272574067957	0.522513192185	1
fig|657315.3.peg.2812|ROI_17120	MF	0003824	catalytic activity	0.6314172835895884	0.420078489532	2
fig|657315.3.peg.2815|ROI_17140	MF	0046523	S-methyl-5-thioribose-1-phosphate isomerase activity	4.612955684698289	0.616557546355	1
fig|657315.3.peg.2815|ROI_17140	BP	0019284	L-methionine salvage from S-adenosylmethionine	4.007316051581284	0.595365451349	1
fig|657315.3.peg.2815|ROI_17140	BP	0033353	S-adenosylmethionine cycle	4.003606798804241	0.595230897296	2
fig|657315.3.peg.2815|ROI_17140	MF	0016861	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	2.992882430248146	0.555895262679	2
fig|657315.3.peg.2815|ROI_17140	BP	0046439	L-cysteine metabolic process	4.00241281161772	0.595187571858	3
fig|657315.3.peg.2815|ROI_17140	MF	0016860	intramolecular oxidoreductase activity	2.8741305231966985	0.550861347059	3
fig|657315.3.peg.2815|ROI_17140	BP	0071267	L-methionine salvage	3.7902460863604968	0.587383409221	4
fig|657315.3.peg.2815|ROI_17140	MF	0016853	isomerase activity	1.899027440266654	0.504793157015	4
fig|657315.3.peg.2815|ROI_17140	BP	0043102	amino acid salvage	3.7902251574353865	0.587382628761	5
fig|657315.3.peg.2815|ROI_17140	MF	0003824	catalytic activity	0.2291880722196426	0.374212454238	5
fig|657315.3.peg.2815|ROI_17140	BP	0046498	S-adenosylhomocysteine metabolic process	3.7716395535239284	0.586688701143	6
fig|657315.3.peg.2815|ROI_17140	MF	0003743	translation initiation factor activity	0.11774295719705478	0.354523483181	6
fig|657315.3.peg.2815|ROI_17140	BP	0046500	S-adenosylmethionine metabolic process	3.613305261089996	0.58070626687	7
fig|657315.3.peg.2815|ROI_17140	MF	0008135	translation factor activity, RNA binding	0.09563596700234585	0.349603194961	7
fig|657315.3.peg.2815|ROI_17140	BP	0071265	L-methionine biosynthetic process	3.4364803032543674	0.573868073316	8
fig|657315.3.peg.2815|ROI_17140	MF	0003723	RNA binding	0.047227647019690434	0.336254751959	8
fig|657315.3.peg.2815|ROI_17140	BP	0019509	L-methionine salvage from methylthioadenosine	3.393663190411338	0.572185956248	9
fig|657315.3.peg.2815|ROI_17140	MF	0003676	nucleic acid binding	0.029258191317187474	0.329536497697	9
fig|657315.3.peg.2815|ROI_17140	BP	0006534	cysteine metabolic process	3.1882430999126767	0.563964067709	10
fig|657315.3.peg.2815|ROI_17140	MF	1901363	heterocyclic compound binding	0.016996777018375483	0.32362996909	10
fig|657315.3.peg.2815|ROI_17140	BP	0009086	methionine biosynthetic process	2.9608702536515072	0.554548245926	11
fig|657315.3.peg.2815|ROI_17140	MF	0097159	organic cyclic compound binding	0.016992530166728085	0.323627604001	11
fig|657315.3.peg.2815|ROI_17140	BP	0006555	methionine metabolic process	2.928862659601784	0.553194121876	12
fig|657315.3.peg.2815|ROI_17140	MF	0005488	binding	0.011881438245782536	0.320527091893	12
fig|657315.3.peg.2815|ROI_17140	BP	0046128	purine ribonucleoside metabolic process	2.7979212530713338	0.547575864786	13
fig|657315.3.peg.2815|ROI_17140	BP	0042278	purine nucleoside metabolic process	2.785981230274473	0.54705707895	14
fig|657315.3.peg.2815|ROI_17140	BP	0043094	cellular metabolic compound salvage	2.7826447451985805	0.546911912318	15
fig|657315.3.peg.2815|ROI_17140	BP	0000097	sulfur amino acid biosynthetic process	2.759920416139792	0.545920879134	16
fig|657315.3.peg.2815|ROI_17140	BP	0000096	sulfur amino acid metabolic process	2.7053397039664597	0.543523753409	17
fig|657315.3.peg.2815|ROI_17140	BP	0009069	serine family amino acid metabolic process	2.6802472588529183	0.542413609556	18
fig|657315.3.peg.2815|ROI_17140	BP	0009067	aspartate family amino acid biosynthetic process	2.5455914898556258	0.536365291324	19
